Time;Humidity;Atmospheric_Temp;Soil_Temp;Soil_Moisture
2017-06-11 21:00:21+00:00;2.525.236.729.398.150;15.487.149.147.397.100;12,46;63
2017-06-11 22:00:21+00:00;3.330.424.619.156.930;12.115.891.381.266.600;8,51;4
2017-06-11 23:00:21+00:00;2.407.205.065.971.810;1.731.920.324.220.480;11,91;100
2017-06-12 00:00:21+00:00;45.026.218.157.238.400;1.586.580.497.766.420;1,47;65
2017-06-12 01:00:21+00:00;4.149.091.654.837.020;1.384.273.878.368.460;8,50;98
2017-06-12 02:00:21+00:00;56.010.755.760.401.600;118.414.262.876.428;10,87;100
2017-06-12 03:00:21+00:00;3.289.424.129.811.630;1.820.242.899.496.870;15,04;100
2017-06-12 04:00:21+00:00;3.990.837.288.024.970;15.294.172.981.878.200;14,97;100
2017-06-12 05:00:21+00:00;3.996.186.642.023.890;1.233.085.051.457.070;0,89;100
2017-06-12 06:00:21+00:00;41.126.043.608.628.100;1.692.661.264.881.160;10,85;100
2017-06-12 07:00:21+00:00;4.106.834.091.722.460;14.059.523.066.236.100;9,98;65
2017-06-12 08:00:21+00:00;24.517.660.350.563.400;17.186.621.909.618.100;1,37;10
2017-06-12 09:00:21+00:00;38.185.694.088.802.500;11.479.714.482.442.200;11,16;62
2017-06-12 10:00:21+00:00;36.271.710.504.431.100;13.038.799.655.678.100;12,04;73
2017-06-12 11:00:21+00:00;6.257.487.932.948.880;16.877.819.367.489.600;13,07;100
2017-06-12 12:00:21+00:00;1.426.099.207.093.130;11.902.427.264.235.700;9,37;100
2017-06-12 13:00:21+00:00;45.967.685.389.047.400;12.910.175.251.551.300;1,17;74
2017-06-12 14:00:21+00:00;5.792.653.727.712.630;688.326.254.123.711;7,62;9
2017-06-12 15:00:21+00:00;23.548.637.161.246.600;14.525.105.977.001.100;12,27;100
2017-06-12 16:00:21+00:00;6.222.130.745.687.520;16.325.160.214.757.900;13,64;100
2017-06-12 17:00:21+00:00;3.890.312.474.733.640;11.289.969.844.428.800;9,51;100
2017-06-12 18:00:21+00:00;327.321.991.230.999;1.461.090.191.804.710;12,23;19
2017-06-12 19:00:21+00:00;3.758.831.073.998.710;12.212.531.074.804.100;10,31;55
2017-06-12 20:00:21+00:00;39.742.326.074.410.700;9.863.796.675.584.830;5,90;67
2017-06-12 21:00:21+00:00;3.930.672.064.638.800;12.735.807.259.274.900;6,95;75
2017-06-12 22:00:21+00:00;21.344.157.754.446.300;1.213.095.439.411.260;7,95;89
2017-06-12 23:00:21+00:00;41.547.096.558.048.300;13.834.131.387.585.100;10,14;100
2017-06-13 00:00:21+00:00;14.069.226.409.512.700;12.783.082.610.310.200;11,54;100
2017-06-13 01:00:21+00:00;29.124.674.773.695.600;1.676.946.605.885.790;12,87;98
2017-06-13 02:00:21+00:00;31.921.097.027.307.800;12.172.093.563.156.400;10,14;100
2017-06-13 03:00:21+00:00;36.639.249.551.821.600;13.211.160.055.481.700;1,07;100
2017-06-13 04:00:21+00:00;3.457.353.181.328.000;14.106.206.086.645.900;12,28;100
2017-06-13 05:00:21+00:00;3.927.171.170.830.590;1.340.139.992.239.660;9,86;66
2017-06-13 06:00:21+00:00;19.171.974.308.668.900;12.225.895.543.740.200;8,33;7
2017-06-13 07:00:21+00:00;360.391.598.676.616;13.649.638.840.360.400;50,00;60
2017-06-13 08:00:21+00:00;2.375.333.947.049.160;14.797.960.860.032.700;12,50;67
2017-06-13 09:00:21+00:00;3.879.326.718.665.390;1.570.533.352.801.220;6,58;100
2017-06-13 10:00:21+00:00;6.018.857.835.215.310;838.699.652.208.765;7,04;100
2017-06-13 11:00:21+00:00;36.558.429.256.451.500;14.754.130.667.046.900;13,58;89
2017-06-13 12:00:21+00:00;5.638.037.027.689.350;11.888.731.701.268.500;9,21;77
2017-06-13 13:00:21+00:00;3.784.199.999.645.930;16.334.388.956.480.300;13,80;100
2017-06-13 14:00:21+00:00;26.410.954.528.512.900;15.787.004.077.814.500;11,77;34
2017-06-13 15:00:21+00:00;37.683.573.226.231.200;15.770.608.927.171.200;12,61;100
2017-06-13 16:00:21+00:00;9.987.872.282.272.260;12.109.034.511.222.600;0,09;69
2017-06-13 17:00:21+00:00;4.017.437.155.660.530;10.145.808.890.385.200;9,51;37
2017-06-13 18:00:21+00:00;50.640.025.893.088.700;16.608.815.456.975.400;12,72;31
2017-06-13 19:00:21+00:00;21.703.034.810.068.800;16.360.927.558.790.600;10,71;100
2017-06-13 20:00:21+00:00;5.144.705.353.408.230;866.418.337.335.422;7,58;86
2017-06-13 21:00:21+00:00;22.711.864.024.983.100;16.861.190.880.640.100;13,23;44
2017-06-13 22:00:21+00:00;3.350.032.962.038.760;14.386.019.808.950.200;10,11;50
2017-06-13 23:00:21+00:00;2.193.158.174.645.780;13.845.192.686.191.700;12,37;86
2017-06-14 00:00:21+00:00;3.656.101.343.432.410;11.529.826.978.759.700;13,22;8
2017-06-14 01:00:21+00:00;7.270.128.914.659.320;15.985.915.898.278.100;13,73;100
2017-06-14 02:00:21+00:00;28.579.294.209.204.700;12.409.147.864.741.500;1,15;92
2017-06-14 03:00:21+00:00;3.402.622.819.748.130;12.397.858.316.424.100;1,02;100
2017-06-14 04:00:21+00:00;3.793.889.501.301.740;8.342.703.106.226.230;0,95;75
2017-06-14 05:00:21+00:00;3.456.660.165.567.330;11.720.116.114.449.700;10,68;54
2017-06-14 06:00:21+00:00;5.115.729.065.891.580;1.111.855.269.625.990;7,78;100
2017-06-14 07:00:21+00:00;29.636.610.329.808.100;8.486.435.241.185.310;7,98;87
2017-06-14 08:00:21+00:00;3.826.672.940.702.390;17.306.955.917.996.800;1,47;83
2017-06-14 09:00:21+00:00;3.074.867.599.590.510;13.222.369.723.602.800;9,79;100
2017-06-14 10:00:21+00:00;5.753.568.262.914.780;10.066.276.380.864.300;10,54;100
2017-06-14 11:00:21+00:00;3.981.270.251.274.180;11.186.834.502.514.000;0,64;100
2017-06-14 12:00:21+00:00;37.998.077.886.633.900;1.211.598.728.671.410;10,44;74
2017-06-14 13:00:21+00:00;454.064.977.774.256;12.078.438.440.825.800;0,88;100
2017-06-14 14:00:21+00:00;53.416.263.491.813.300;15.467.369.216.585.100;9,16;7
2017-06-14 15:00:21+00:00;4.892.111.373.435.030;12.871.827.592.730.400;10,53;100
2017-06-14 16:00:21+00:00;46.730.888.516.501.700;13.764.301.477.917.200;10,18;100
2017-06-14 17:00:21+00:00;5.195.268.983.231.800;12.882.805.330.448.000;9,14;13
2017-06-14 18:00:21+00:00;3.452.343.283.688.540;16.346.283.132.599.400;10,96;100
2017-06-14 19:00:21+00:00;6.065.823.896.968.020;1.686.729.796.476.190;1,75;100
2017-06-14 20:00:21+00:00;4.655.371.403.821.340;13.200.472.681.364.100;5,64;87
2017-06-14 21:00:21+00:00;4.381.847.483.391.990;1.122.948.452.987.990;4,66;75
2017-06-14 22:00:21+00:00;3.442.084.316.671.610;13.259.345.139.268.400;11,65;53
2017-06-14 23:00:21+00:00;195.488.854.533.443;5.980.075.138.684.230;5,71;100
2017-06-15 00:00:21+00:00;3.625.104.352.190.740;14.285.820.273.306.600;8,65;59
2017-06-15 01:00:21+00:00;25.905.022.907.411.000;10.228.199.241.170.900;6,99;100
2017-06-15 02:00:21+00:00;30.117.603.842.435.200;12.988.887.794.549.800;11,64;46
2017-06-15 03:00:21+00:00;36.807.253.487.106.300;1.466.923.765.514.040;11,18;77
2017-06-15 04:00:21+00:00;5.347.608.246.073.120;12.141.519.975.975.600;11,31;6
2017-06-15 05:00:21+00:00;34.492.482.833.784.800;12.461.390.189.564.500;9,88;16
2017-06-15 06:00:21+00:00;2.285.945.777.353.380;14.150.959.592.002.500;10,28;68
2017-06-15 07:00:21+00:00;17.746.233.329.503.600;12.171.054.178.044.600;6,82;100
2017-06-15 08:00:21+00:00;20.949.476.003.338.600;15.767.651.368.155;12,48;79
2017-06-15 09:00:21+00:00;62.316.782.715.157.300;1.540.018.921.081.530;11,04;4
2017-06-15 10:00:21+00:00;2.779.782.884.984.720;14.901.517.027.573.000;13,91;50
2017-06-15 11:00:21+00:00;13.383.684.161.493.400;11.995.937.951.569.400;11,51;100
2017-06-15 12:00:21+00:00;3.883.795.566.874.140;14.916.339.934.290.200;11,44;54
2017-06-15 13:00:21+00:00;28.591.825.327.848;11.722.646.956.635.100;9,31;75
2017-06-15 14:00:21+00:00;3.542.577.292.703.340;13.313.370.830.120.600;9,91;6
2017-06-15 15:00:21+00:00;49.419.850.853.307.700;7.130.511.950.541.740;4,64;87
2017-06-15 16:00:21+00:00;502.221.810.951.456;16.332.477.946.791.400;10,93;13
2017-06-15 17:00:21+00:00;3.267.063.986.114.610;1.771.452.490.821.050;14,31;100
2017-06-15 18:00:21+00:00;3.971.435.259.719.400;14.070.460.657.938.000;10,68;95
2017-06-15 19:00:21+00:00;53.967.063.918.040.200;9.688.014.799.387.790;10,73;93
2017-06-15 20:00:21+00:00;25.856.107.755.393.300;12.996.987.134.842.700;9,69;29
2017-06-15 21:00:21+00:00;19.347.570.344.191.500;13.697.479.166.335.400;15,77;100
2017-06-15 22:00:21+00:00;4.186.056.344.990.720;1.356.395.276.898.940;14,47;100
2017-06-15 23:00:21+00:00;19.965.934.095.595.700;19.689.661.217.159.100;1,43;60
2017-06-16 00:00:21+00:00;30.245.944.460.512.100;12.931.781.985.121.000;10,19;45
2017-06-16 01:00:21+00:00;36.192.592.360.918.400;1.212.441.025.898.490;50,00;10
2017-06-16 02:00:21+00:00;3.803.540.997.990.890;13.920.473.598.428.900;10,30;15
2017-06-16 03:00:21+00:00;3.201.476.813.109.030;13.178.740.198.154.100;11,29;100
2017-06-16 04:00:21+00:00;4.901.855.462.344.530;11.706.868.304.162.900;9,78;15
2017-06-16 05:00:21+00:00;3.628.082.645.597.470;9.250.994.771.876.680;5,78;57
2017-06-16 06:00:21+00:00;139.471.299.544.084;15.301.812.224.697.900;12,09;100
2017-06-16 07:00:21+00:00;3.932.551.955.092.150;11.428.459.953.324.700;10,14;52
2017-06-16 08:00:21+00:00;38.458.125.290.481.300;11.083.387.335.549.700;8,61;13
2017-06-16 09:00:21+00:00;3.261.369.399.658.830;11.557.427.183.527.600;11,94;100
2017-06-16 10:00:21+00:00;3.389.646.952.086.210;9.978.407.446.681.930;7,80;64
2017-06-16 11:00:21+00:00;2.857.947.304.054.930;15.116.630.620.433.300;8,92;100
2017-06-16 12:00:21+00:00;24.118.319.354.964.300;14.792.590.830.168.700;8,63;51
2017-06-16 13:00:21+00:00;5.462.657.570.079.780;13.985.926.492.791.800;10,44;100
2017-06-16 14:00:21+00:00;42.865.757.741.189.800;1.524.700.701.862.350;9,82;61
2017-06-16 15:00:21+00:00;4.381.869.486.113.100;14.572.247.527.223.100;8,42;100
2017-06-16 16:00:21+00:00;3.218.130.241.455.730;14.951.066.927.680.800;11,11;100
2017-06-16 17:00:21+00:00;2.238.226.610.335.830;17.951.265.147.449.700;15,95;95
2017-06-16 18:00:21+00:00;-4.168.218.290.420.380;15.906.886.364.877.200;11,80;32
2017-06-16 19:00:21+00:00;5.001.126.529.958.260;13.951.394.449.130.900;11,82;12
2017-06-16 20:00:21+00:00;62.868.456.969.816.600;1.125.987.111.566.210;11,88;100
2017-06-16 21:00:21+00:00;1.978.944.288.987.730;9.653.295.840.751.060;0,85;88
2017-06-16 22:00:21+00:00;12.098.400.649.187.000;9.256.576.664.824.510;50,00;100
2017-06-16 23:00:21+00:00;43.013.553.814.074.300;15.820.931.715.196.700;12,61;8
2017-06-17 00:00:21+00:00;590.220.460.618.665;1.217.156.291.903.800;8,86;100
2017-06-17 01:00:21+00:00;2.584.896.956.019.030;13.717.365.841.773.100;11,98;72
2017-06-17 02:00:21+00:00;6.151.217.536.229.030;11.212.976.973.289.300;9,34;16
2017-06-17 03:00:21+00:00;3.971.427.715.248.760;1.887.573.764.685.310;14,54;99
2017-06-17 04:00:21+00:00;5.391.993.620.438.930;916.820.990.673.982;7,49;36
2017-06-17 05:00:21+00:00;5.017.560.280.303.600;13.861.425.905.244.000;10,45;100
2017-06-17 06:00:21+00:00;32.737.118.285.868.700;12.655.090.370.670.700;6,93;100
2017-06-17 07:00:21+00:00;3.387.829.902.382.120;13.569.572.700.440.900;6,98;13
2017-06-17 08:00:21+00:00;3.240.127.377.233.590;12.747.247.290.348.200;11,95;3
2017-06-17 09:00:21+00:00;3.747.322.031.684.210;11.362.478.396.469.200;11,15;51
2017-06-17 10:00:21+00:00;2.570.380.681.244.980;10.812.536.404.824.200;0,90;100
2017-06-17 11:00:21+00:00;18.623.328.399.652.400;1.849.467.894.440.570;16,68;65
2017-06-17 12:00:21+00:00;43.572.188.477.236.200;12.802.418.736.556.900;13,67;72
2017-06-17 13:00:21+00:00;19.602.215.116.540.400;14.355.318.978.641.100;10,58;100
2017-06-17 14:00:21+00:00;2.340.429.908.897.380;9.658.026.896.216.920;50,00;100
2017-06-17 15:00:21+00:00;12.264.453.311.214.500;8.389.206.067.672.400;0,82;48
